contador,distancia1,distancia2,humedad,temperatura,time
1,35,177,79.35742,19.14,2025-01-05T14:29:10.028613288Z
0,35,177,79.44434,19.13,2025-01-05T14:29:17.110250227Z
1,35,178,79.44336,19.12,2025-01-05T14:29:24.22550786Z
0,35,177,79.45605,19.13,2025-01-05T14:29:31.490405057Z
1,35,177,79.50098,19.13,2025-01-05T14:29:38.652523572Z
0,35,178,79.64453,19.12,2025-01-05T14:29:45.793732914Z
1,35,177,79.5752,19.11,2025-01-05T14:29:52.927437495Z
0,35,177,79.57227,19.09,2025-01-05T14:30:00.077814323Z
1,35,177,79.72559,19.08,2025-01-05T14:30:07.212008651Z
0,35,177,79.91309,19.07,2025-01-05T14:30:14.395768528Z
1,35,177,79.98828,19.05,2025-01-05T14:30:21.596122763Z
0,35,177,79.87305,19.04,2025-01-05T14:30:28.683546444Z
1,35,178,79.80664,19.03,2025-01-05T14:30:35.829601047Z
0,35,177,79.80176,19.01,2025-01-05T14:30:42.965969477Z
1,35,177,79.83203,18.99,2025-01-05T14:30:50.118465016Z
1,35,2,79.89844,18.99,2025-01-05T14:31:00.374477238Z
1,35,3,79.9541,18.99,2025-01-05T14:31:05.483325555Z
0,35,1,79.99902,18.99,2025-01-05T14:31:12.608716532Z
0,34,37,80.18066,19.01,2025-01-05T14:31:32.0016838Z
0,34,38,80.02441,19.01,2025-01-05T14:31:37.109347347Z
1,34,39,79.96875,19.01,2025-01-05T14:31:49.431381459Z
0,34,45,79.91602,19.02,2025-01-05T14:31:56.548157544Z
1,34,45,80.05078,19.02,2025-01-05T14:32:03.766424871Z
0,34,44,80.03906,19.02,2025-01-05T14:32:10.893212064Z
1,34,44,80.01367,19.01,2025-01-05T14:32:18.006442982Z
0,34,44,80.04688,19.01,2025-01-05T14:32:25.183502136Z
1,34,45,80.03613,19.01,2025-01-05T14:32:32.436521921Z
0,34,44,80.12207,18.99,2025-01-05T14:32:39.562619924Z
1,34,44,80.60156,18.99,2025-01-05T14:32:46.770044836Z
0,34,44,80.30078,18.99,2025-01-05T14:32:53.885398141Z
1,34,44,80.15527,18.98,2025-01-05T14:33:01.107480814Z
0,34,44,80.06641,18.99,2025-01-05T14:33:08.275243654Z
0,34,8,80.04395,18.99,2025-01-05T14:33:13.388195455Z
1,35,7,80.06152,19.02,2025-01-05T14:33:20.511017682Z
0,37,7,80.09473,19.02,2025-01-05T14:33:27.660491273Z
1,4,7,80.08789,18.98,2025-01-05T14:33:49.029978382Z
0,4,7,80.04785,18.95,2025-01-05T14:33:56.146896531Z
